gene_id,rna_wald_padj_E,rna_wald_padj_M,rna_wald_padj_L,rna_wald_pval_E,rna_wald_pval_M,rna_wald_pval_L
ENSG00000000003,0.148717428024435,0.226145553418238,0.380052190628139,0.0677662856512908,0.159336522732573,0.293856876326024
ENSG00000000005,,,,,,
ENSG00000000419,0.127701583459159,0.0775697301880409,0.103916093231823,0.0554200957491655,0.0451057361980003,0.0625442599776223
ENSG00000000457,0.950270819703876,0.830522323729884,0.795211032293748,0.921549821834433,0.780072792982988,0.735077733893439
ENSG00000000460,0.0510960613416036,0.0159748929769982,0.00123551779064701,0.0169815522107214,0.0073162245422687,0.00039311929702405
ENSG00000000938,0.0162454345681723,0.00107297169194972,0.000927434738974412,0.00402573017215116,0.00033707614904738,0.000285254610363707
ENSG00000000971,0.300130682140327,0.507528004045232,0.214687050663764,0.172351920702843,0.422318401374843,0.147870737418134
ENSG00000001036,0.833610253956584,0.848062024979898,0.842439319497767,0.742957485436356,0.80071851262177,0.793362760823694
ENSG00000001084,0.0384332066605019,1.33718292514351e-06,8.67491256589738e-06,0.0117777712244551,1.84482745628428e-07,1.53047378859052e-06
ENSG00000001167,0.733901290011197,0.847358744423211,0.933074756993373,0.611424933920671,0.799623577054534,0.909794890174942
ENSG00000001460,0.957409134078628,0.358559017857705,0.435274684012833,0.931869819810839,0.276707095563769,0.347131173566475
ENSG00000001461,0.131593642160969,0.00138376549265785,0.000502639051612574,0.0576862730274201,0.00044947366749186,0.000142891995412203
ENSG00000001497,0.0870280075849464,0.000197988036275529,0.00320154305468508,0.0335342008603367,4.97023421632772e-05,0.00115869523734513
ENSG00000001561,0.294691538914559,0.613058555191639,0.872822372098855,0.16816314022806,0.532438848307068,0.832476191570403
ENSG00000001617,0.489094872694392,0.532737411152917,0.323144058925378,0.34012596550755,0.44891509121627,0.24131434671795
ENSG00000001626,2.67042227521399e-06,1.81241607119843e-05,5.89367274838439e-08,1.71233667285856e-07,3.37048810680377e-06,6.23107276467805e-09
ENSG00000001629,0.045193444804812,0.0120440329036654,0.0457008212583409,0.0144922205664832,0.00531039497471085,0.0242560480733496
ENSG00000001630,0.115833152898428,0.130136140504844,0.00281150821714374,0.048759208547916,0.0827599219958211,0.00100120616788057
ENSG00000001631,0.519564001823072,0.908695009611169,0.757267167524251,0.370136237164582,0.879076528202721,0.6889208923531
ENSG00000002016,0.0719569094526926,0.004492424854597,0.00548192385919513,0.0262514362090065,0.00171560897019219,0.002141244527436
ENSG00000002330,0.530087122409564,0.459507196837618,0.574075986845882,0.380925594182859,0.374081448557447,0.486096817592388
ENSG00000002549,0.829990466005779,0.445486846485007,0.432144813720069,0.738111322021489,0.360105613150311,0.343806582499838
ENSG00000002586,0.860679265267581,0.0491522752972846,0.117325814338081,0.781925633314687,0.0266413837779403,0.0720197217561836
ENSG00000002587,2.10030508387734e-11,5.23380675689262e-21,8.06291625433589e-19,3.98303678345827e-13,6.14136386076057e-23,1.22802505473766e-20
ENSG00000002726,0.000354587133608131,0.00377422795423176,0.000715373160520686,4.35826546819523e-05,0.00140778657958603,0.000212526114358789
ENSG00000002745,0.932738839434669,0.00916469820219612,0.167202089967591,0.89181049511286,0.00388339935954291,0.109552347201712
ENSG00000002746,4.54693158462772e-07,2.71141224464589e-06,3.65481011917384e-05,2.35241867570227e-08,4.0219656562455e-07,7.59595773849867e-06
ENSG00000002822,0.722887171393122,0.233254687344203,0.0888378626781184,0.597704157218607,0.165423660273087,0.0520844479954145
ENSG00000002834,0.846541387389794,0.82819879456924,0.438114125082027,0.759965735339373,0.777448672868126,0.349914902437506
ENSG00000002919,0.815544135040117,0.201169934941956,0.123390840576879,0.718349678742519,0.138794617908869,0.0764348138647715
ENSG00000002933,0.226672278867664,0.437360381075395,0.695858989900766,0.117795970925124,0.351904817699457,0.618907889085616
ENSG00000003056,0.656574001941784,0.332022375623831,0.0734891192052864,0.519103577095256,0.252332283098258,0.0417965554707321
ENSG00000003096,4.32410242427907e-05,1.37304058102436e-07,5.00322210913028e-09,3.92873377058196e-06,1.48826076964179e-08,4.08404808123079e-10
ENSG00000003137,0.0958678227970128,0.0252919550673808,0.0272609025873921,0.0380141994983295,0.0123911694051225,0.0133671155628827
ENSG00000003147,0.363602220313608,0.646077114323958,0.831511492195121,0.224832616258871,0.568083806164784,0.779769933180965
ENSG00000003249,0.409701186864297,0.362328450972812,0.276356297365086,0.265040782020307,0.280109911280096,0.199905473843679
ENSG00000003393,0.791448474985911,0.623437002130426,0.746704792168112,0.685024592697003,0.543484550274894,0.676831207550745
ENSG00000003400,0.00249467892336752,0.016661969443205,0.010371903894999,0.000418391688581846,0.00768619000509111,0.00443113993001349
ENSG00000003402,0.0371679132069882,0.00521215605381453,0.00537141178129847,0.0113063232482796,0.00203093078427347,0.00209298521168884
ENSG00000003436,0.925579735971055,0.264588751095649,0.363301435035251,0.880093208903268,0.192596338666481,0.278252948647087
ENSG00000003509,0.550482460280294,0.140173058424468,0.272593707847942,0.402210397818878,0.0903141810590741,0.196618348833549
ENSG00000003756,0.115711115497374,1.31837054083151e-05,0.000107114129444858,0.0486941229789531,2.3557443823411e-06,2.50423871435322e-05
ENSG00000003987,0.609517025336574,6.90507257050361e-09,1.86598327620126e-05,0.465180429262569,5.56121466357379e-10,3.59838187789433e-06
ENSG00000003989,0.386493023875188,6.83523947987974e-06,6.066197505279e-06,0.244873587664433,1.13826140443653e-06,1.03068556641193e-06
ENSG00000004059,0.893376930753447,0.29354306771128,0.898939240908085,0.832173675333808,0.218095853970387,0.866708694460925
ENSG00000004139,7.92232290634559e-05,1.61208442681429e-13,6.7915989049271e-14,7.82654514926994e-06,5.45513931320944e-15,2.2418635712009e-15
ENSG00000004142,0.0121000074342289,0.00043629592726928,4.91577842231166e-05,0.00280880224723684,0.000121327246944838,1.05837519309341e-05
ENSG00000004399,0.965729509935833,0.135392509986373,0.413382284819698,0.944897132217649,0.086720531464544,0.325997277711018
ENSG00000004455,0.0571972199292195,0.00134001761840692,6.39694614253144e-05,0.0196043134013797,0.000433278186916447,1.42011142882084e-05
ENSG00000004468,0.0187032148118303,0.00232071823191747,0.123314934306481,0.00481490844746893,0.000808276700781022,0.0763305172626538
ENSG00000004478,0.897602371284352,0.346626721358049,0.030031234341996,0.83845808896875,0.265752630923852,0.0149284101967917
ENSG00000004487,0.938083869516223,0.961592117951249,0.837863874050251,0.902670842084562,0.948200263754346,0.787564235291634
ENSG00000004534,0.0169500656781666,3.48241920262494e-07,4.65642846962855e-06,0.00426011784645637,4.17502314028106e-08,7.72943945918548e-07
ENSG00000004660,0.110613844578654,4.21075630011928e-08,1.83774232862023e-08,0.0458017620049219,4.09496923580404e-09,1.7262187927362e-09
ENSG00000004700,0.00321983880662921,0.000330216471936,2.86264918914812e-06,0.00056634358054258,8.80825139376518e-05,4.48889993746943e-07
ENSG00000004766,0.270771885791032,0.844697352643392,0.861590069930273,0.149715639115226,0.796690670103092,0.818546308584343
ENSG00000004776,4.62864509668122e-07,2.17121735123748e-08,2.12517442022889e-08,2.40018043119359e-08,1.96701699613668e-09,2.031472288627e-09
ENSG00000004777,0.0345233339233901,3.23830644150867e-06,1.0401305554899e-05,0.0103177179670295,4.8975690640809e-07,1.87881826071662e-06
ENSG00000004779,0.946149651231913,0.774180496999478,0.756612338790159,0.91611134785228,0.712976468138669,0.688053593619473
ENSG00000004799,0.00405583646319343,2.73184504873661e-16,4.32993955724244e-17,0.000748241016351852,5.84447115440272e-18,8.64756211207005e-19
ENSG00000004809,0.939550896203535,0.0951462396168748,0.1809827171453,0.905390804896195,0.0572095381742806,0.120329803464094
ENSG00000004838,0.0804595707859403,0.578753417628029,0.824348262993997,0.0302641279944508,0.495853867408346,0.770463224823891
ENSG00000004846,0.00696175073879978,0.000188983516066488,3.38437624464032e-06,0.00143864079804402,4.71730810520356e-05,5.41331722430024e-07
ENSG00000004848,0.000992015972588156,0.0955531563989762,0.0171641411663552,0.00014232965921749,0.0574711973624043,0.00789851583244923
ENSG00000004864,0.884629917351919,0.577946749376825,0.733226769693748,0.819097891946568,0.494957240443552,0.661572689853462
ENSG00000004866,0.708264422849409,0.110506052584295,0.118059290663352,0.580454468625369,0.0681281536704057,0.0725234618966883
ENSG00000004897,0.0453635913905578,0.21011746633781,0.0812882729494555,0.0145637356834982,0.146013832539834,0.0469597063358594
ENSG00000004939,0.76902306826136,5.24823881190399e-08,7.4825119149977e-07,0.65641230377205,5.18324658955346e-09,1.02034253386332e-07
ENSG00000004948,0.0332125385314556,0.958774167022595,0.346781435173535,0.00980590654045938,0.943987571985719,0.262624153139896
ENSG00000004961,0.399069003130421,0.342746529837287,0.268291200605505,0.255746591165034,0.261904335410808,0.192958516685339
ENSG00000004975,0.396330032184765,0.00488238921855204,0.00426631565370876,0.253196500352718,0.00188796904415385,0.00160710396868056
ENSG00000005001,8.1542748736689e-06,1.63723753565314e-12,1.51795098137811e-11,5.99706952603005e-07,6.51052735820348e-14,7.65542423345248e-13
ENSG00000005007,6.80698806289902e-05,1.88663537133722e-08,4.90946855251016e-11,6.59157194190885e-06,1.6804628203863e-09,2.70873250111827e-12
ENSG00000005020,0.00118170205818742,1.28399112871189e-06,3.96896415333416e-07,0.000174474481452541,1.75850628093705e-07,5.08527942367456e-08
ENSG00000005022,7.60768772986819e-06,2.17299557681402e-07,1.03158879465585e-09,5.53647062479444e-07,2.46738148937754e-08,7.3806493994237e-11
ENSG00000005059,0.425035411840661,0.271902510804198,0.137865904479739,0.279368718307738,0.199036376286207,0.0870873933773579
ENSG00000005073,1.96225099353672e-11,5.25446170344788e-20,5.41796459000582e-18,3.67471443615979e-13,7.28661869507411e-22,9.34353262825467e-20
ENSG00000005075,0.0195156803814973,0.0581722336397006,0.136367411419019,0.00508536485939574,0.0323922192295026,0.0859549477215054
ENSG00000005100,0.0362219941527712,6.69813426493985e-07,2.93407537293781e-06,0.0109477403211528,8.6177844548918e-08,4.61133571709795e-07
ENSG00000005102,0.68044269804096,0.199677574325175,0.139494817861204,0.547840108785904,0.137445479778767,0.0883147528275002
ENSG00000005108,0.858985996311372,0.749329652409322,0.686213929606162,0.779674618911045,0.684850177756108,0.607970738865244
ENSG00000005156,0.212028467434163,0.00439171301090416,0.026225650256028,0.107534646456179,0.00167168262824685,0.0127693458873727
ENSG00000005175,0.403085117527949,0.890956227589451,0.984138763067138,0.2593274881998,0.856203849377342,0.978129000111915
ENSG00000005187,1.16742574238155e-06,6.92307035003396e-08,2.40438747648468e-10,6.78703717717378e-08,7.0105567779203e-09,1.51467576597322e-11
ENSG00000005189,0.089618218792604,5.90415614822976e-05,0.00025896597590207,0.034787207128811,1.27117454584086e-05,6.77913641317712e-05
ENSG00000005194,0.981087411927147,0.760415522639902,0.612056658092998,0.969633446053635,0.697731038107953,0.525293618733128
ENSG00000005206,0.0445788128126255,6.91918579962161e-07,9.3328270265189e-09,0.0142634236325332,8.93499221131651e-08,8.23549806950732e-10
ENSG00000005238,0.0573860686093473,0.000287460698636745,0.00224014517822658,0.0196945318978778,7.54000860593952e-05,0.000773045239588323
ENSG00000005243,0.938606799088517,0.800629234167364,0.217618474580147,0.903396528623718,0.744264310034205,0.150168870333722
ENSG00000005249,4.29069005859207e-05,3.52810011011496e-09,2.01567678237012e-06,3.89554176233439e-06,2.68465126311936e-10,3.05087027508196e-07
ENSG00000005302,0.138362677662748,0.00358757699945093,0.159885710947202,0.0616616918984583,0.00132771413198488,0.10387738823718
ENSG00000005339,6.70300064987509e-10,2.39593759154784e-15,3.32779148256639e-12,1.78757277020492e-11,6.00617281749873e-17,1.49488321902651e-13
ENSG00000005379,0.0792065121914021,1.78479687950507e-08,5.07160142618325e-07,0.0297317795555494,1.57917609405066e-09,6.63630197286513e-08
ENSG00000005381,0.283128191620231,0.104318422263174,0.654861325221817,0.158980657556103,0.0638250202349773,0.571974906752272
ENSG00000005421,,,,,,
ENSG00000005436,0.621220925661071,0.00446463818472217,0.00250939414629208,0.478828283132225,0.00170261625688557,0.000878613257890901
ENSG00000005448,0.00154392286580852,0.197598015796919,0.0990115763551101,0.000239631029130765,0.135732997576276,0.0591081791505222
ENSG00000005469,0.0229194140565686,0.000161332831706219,0.000777363000042373,0.00621751126654913,3.9563544956758e-05,0.000233936785244469
ENSG00000005471,0.907948482913732,0.0947088686476852,0.973088381510253,0.85242287961553,0.0569241048847235,0.962016142014581
ENSG00000005483,0.00891305246361385,0.00195959099012907,0.0173838204288099,0.00193426742833744,0.000667287532848264,0.00801093917591714
ENSG00000005486,0.00648228802246817,0.979620143450856,0.881250158440592,0.00131458987868236,0.972016689723968,0.844417489448384
ENSG00000005513,0.805994496861588,0.77899306400262,0.533506478109379,0.703824162098821,0.718747363604171,0.444947058577296
ENSG00000005700,0.725500869893542,0.386066294636575,0.380065718503938,0.601330755382901,0.303128620222827,0.293912383593569
ENSG00000005801,0.559690097690233,0.388664307060386,0.185976466249098,0.411923155340465,0.305629174492371,0.124322302909199
ENSG00000005810,0.0364662988407536,8.46157144836507e-06,0.000203828662506144,0.0110395678753569,1.44193736544731e-06,5.14001841191548e-05
ENSG00000005812,0.94325161170497,0.471254323689276,0.999575785903617,0.911513482471424,0.385543791545007,0.99933883537952
ENSG00000005844,0.0044978258430085,0.000167252169388042,0.00477888088917146,0.000848173629990107,4.12066875953894e-05,0.00183095086811032
ENSG00000005882,6.62329436493225e-05,6.17110891216473e-08,9.5105032910433e-08,6.39014058676644e-06,6.17443271491225e-09,1.06185778122114e-08
ENSG00000005884,1.06109983420513e-09,1.28323243776643e-17,2.34943739753961e-16,2.96811142435003e-11,2.31946126300083e-19,5.23520482087763e-18
ENSG00000005889,0.347471945289202,0.000979081200756233,0.0135596029390785,0.211134902730111,0.000304098884269493,0.00603568671775622
ENSG00000005893,0.563800236443735,0.96410255537296,0.599350342285098,0.416100998625871,0.951932717498453,0.512363914155656
ENSG00000005961,0.512471101858843,0.0135588385009595,0.242962192731979,0.363139561747433,0.00608275497524378,0.171012324468277
ENSG00000005981,0.000115403001181197,0.211597274136529,0.120746876028571,1.19889451861229e-05,0.147230271164927,0.0744775089312177
ENSG00000006007,0.417305830122904,0.0929867500893357,0.382137513993295,0.271988237506916,0.0557512712251872,0.295876888723622
ENSG00000006015,0.535485602022696,0.154668646420431,0.0274678417062468,0.386111966327495,0.101340319712237,0.0134832365089986
ENSG00000006016,0.473236648509708,0.0806862204150283,0.289611710764184,0.324940465969058,0.0472430874540998,0.211579259234273
ENSG00000006025,0.246468491704902,0.229462789719941,0.00531508404213373,0.13210033418153,0.162258504618841,0.00206662714237522
ENSG00000006042,0.119681089857854,0.0472511500054018,0.0032024019821172,0.0508612715047214,0.02546812903278,0.00115919588163873
ENSG00000006047,1.13375998757344e-17,7.58473056023333e-16,1.4883468360834e-11,7.92839152149256e-20,1.76725052703891e-17,7.48848206610649e-13
ENSG00000006062,0.000657635812203944,5.73851289561134e-06,5.23779664516522e-05,8.88201977013624e-05,9.2739864088729e-07,1.13888087537698e-05
ENSG00000006071,0.0456111914584389,0.00230733140352818,0.000230286251722704,0.014669428472499,0.000803204021827931,5.9188780000081e-05
ENSG00000006118,0.062256840754174,0.0788369017159429,0.00429972370290992,0.0218880149578804,0.0459549497626398,0.00162188819302013
ENSG00000006125,0.000199226540256654,0.000157546687113581,0.000378687847303805,2.23619217284641e-05,3.84894385269788e-05,0.000103704903543373
ENSG00000006128,3.83261042148955e-05,5.02363822077384e-06,1.25760467763078e-08,3.42967982484842e-06,7.98173169959385e-07,1.13880523137361e-09
ENSG00000006194,0.790823062286741,0.0531208960496027,0.208601090150916,0.684155212946655,0.029170215882163,0.142994477289063
ENSG00000006210,0.826806355979735,0.489167715544959,0.15695463477315,0.733463573702777,0.403706863024718,0.10161031351558
ENSG00000006282,0.832270982398958,0.144353452387905,0.140058768383816,0.741080271168437,0.093520916291607,0.0887132936165831
ENSG00000006283,0.151128125540607,1.22176660755261e-05,4.72721341721999e-05,0.0691692849087417,2.16781392853651e-06,1.01469521140043e-05
ENSG00000006327,0.0689957544854148,0.000170466086083967,3.61603701231172e-05,0.0249051860306581,4.2116458035087e-05,7.50680197589663e-06
ENSG00000006377,0.0251658017200716,0.00431062329898364,0.0162114258623366,0.0069692895245878,0.00163647344158405,0.0074014948941236
ENSG00000006432,0.106187622588612,0.794426623236584,0.619314154971237,0.0434369823960685,0.73647123783868,0.533687752011186
ENSG00000006451,0.000116788477898926,3.10963479074474e-08,2.80775792459082e-08,1.21536427160433e-05,2.92461207355216e-09,2.77048532917134e-09
ENSG00000006453,8.43669643136055e-05,8.54348216757821e-12,2.39734723512998e-12,8.42469686312821e-06,3.86151176643075e-13,1.05560566297356e-13
ENSG00000006459,0.101734120353076,0.0266051252251657,0.136461999387426,0.0410811533006232,0.0131370098006448,0.0860388296481464
ENSG00000006468,7.8930096697228e-13,2.75183010174188e-08,5.67805068524302e-08,1.1834369126703e-14,2.54080318745635e-09,5.95599722228289e-09
ENSG00000006530,0.997561838383404,0.202360177626614,0.485661089136214,0.995906526573831,0.13974772726579,0.396754658868242
ENSG00000006534,0.000250889910293778,1.08847710897589e-08,1.56024423711086e-06,2.93502834490884e-05,9.15987610967027e-10,2.2958909806485e-07
ENSG00000006555,0.807175368946185,0.781857066066244,0.883880228060942,0.705764216749556,0.722316570043065,0.847933463593032
ENSG00000006576,0.018947422234229,0.356149704285494,0.181155690982999,0.00489012823456604,0.274531184285968,0.120466279988161
ENSG00000006606,0.101182981803804,0.0489746189089645,0.012283863896025,0.0407814068536015,0.0265218719681236,0.00538192519754133
ENSG00000006607,0.928650171186738,0.911667613202819,0.963286651798658,0.884719290026349,0.882859973903448,0.949230731397396
ENSG00000006611,0.556806140650377,0.992002676254249,0.678481479815022,0.408645682459065,0.989004446048669,0.599109520519369
ENSG00000006625,0.00110415552319374,0.000197779428181874,0.000553384780413558,0.000160774571559027,4.96382528357376e-05,0.000159417056867981
ENSG00000006634,0.16633777993238,0.0513314243754989,0.0105216118015392,0.0780626335951472,0.0280293791748161,0.00450320495618799
ENSG00000006638,0.510588991272336,0.0227187297011987,0.00844266943237238,0.361157396500355,0.0109648770111747,0.00349634787207646
ENSG00000006652,0.000669569753310488,9.33773383424971e-05,4.40129121176814e-06,9.0630396856771e-05,2.13924216007835e-05,7.2485411150312e-07
ENSG00000006695,6.36759823862654e-05,9.50650850566356e-09,1.64472232910657e-10,6.09438850028557e-06,7.88734852905593e-10,1.00297456243372e-11
ENSG00000006704,0.02258181073917,0.00387300606832372,0.0202169673416677,0.00611183653228573,0.00144945083095083,0.00950703068958952
ENSG00000006712,0.0636735005567745,0.430067658771675,0.388931144573248,0.0225049636909211,0.344890100657716,0.302266387930164
ENSG00000006715,0.133884458645523,0.955363291099613,0.586312909624225,0.0589443903803243,0.939850102658147,0.497987236027876
ENSG00000006740,0.0733717338962985,1.20911262465169e-06,1.43940835070013e-07,0.0269589160932233,1.64735683541201e-07,1.66597398892815e-08
ENSG00000006744,0.149522844806995,2.5016515505867e-05,2.72950641050533e-07,0.0682396247397574,4.85089716339913e-06,3.38883248192999e-08
ENSG00000006747,0.954129824921454,0.194888778183945,0.115772063482655,0.927440878769805,0.133490843798153,0.0709218810134055
ENSG00000006756,0.323855764200359,0.324383917229979,0.154998077642492,0.191424347650281,0.245296834411197,0.100123210045227
ENSG00000006757,0.670696724636867,0.00657282496753603,0.176070018513389,0.536589177586684,0.00265032008291544,0.116362758445138
ENSG00000006788,0.418834362015187,0.0428322062401471,0.0286368998083744,0.27370430899262,0.0226928958034204,0.0141333161425546
ENSG00000006831,0.00207592414285015,0.210124303586846,0.130178806683876,0.000339426022882753,0.146031036396998,0.0813289664609113
ENSG00000006837,0.171707229267011,0.636422200639115,0.457585458899685,0.0816306384484983,0.557482312886498,0.368286601713679
ENSG00000007001,0.0534844241046207,0.17567558662712,0.312679492096311,0.0179967986067677,0.117967291221518,0.2316466949565
ENSG00000007038,3.42642831100971e-05,1.56129442738088e-10,2.73229308731767e-10,3.00325202796217e-06,9.05835749914592e-12,1.74715197417077e-11
ENSG00000007047,0.413735898288896,0.010769244364441,0.00429861790947021,0.268453954611949,0.00467301216288,0.00162070683537095
ENSG00000007062,0.18919577875886,0.0481888781950296,0.0913804105115738,0.0925572569428936,0.0260363874898711,0.0538160927677198
ENSG00000007080,0.697878671943547,0.836309627721831,0.693199814056105,0.568052066856778,0.786797163688756,0.615351429106697
ENSG00000007129,0.156369825325068,0.041104454245786,0.0165053580742006,0.0721428878840617,0.0216289231509028,0.00756112468374839
ENSG00000007168,0.602883159630796,1.20660063292305e-05,0.000917997823560418,0.458396997633229,2.1373291998382e-06,0.000281980897733221
ENSG00000007171,0.00222030356817486,3.23759612696114e-05,1.39862100587041e-09,0.000366834649392344,6.49092550522077e-06,1.0302749260975e-10
ENSG00000007174,0.0494252918940698,9.88854507275615e-06,1.97656156516553e-05,0.0162945922521622,1.71528810169238e-06,3.82802133161132e-06
ENSG00000007202,0.524468079288814,0.438350389887744,0.466609573045102,0.374987438224405,0.352779322903613,0.37716580724936
ENSG00000007216,4.60757767127534e-31,5.5621761173804e-41,1.13946772322154e-36,7.91867680852108e-34,6.5925994042674e-44,1.11827720236715e-39
ENSG00000007237,0.120112812437984,0.00308767144711046,0.0111327818796562,0.051123042487235,0.00111905201333977,0.00481426510464925
ENSG00000007255,0.903258142946708,0.455830099156843,0.758619896006888,0.846102292063222,0.370304551335902,0.690463693426205
ENSG00000007264,0.12799696457872,0.000138044659156284,0.000610217166894042,0.0555634565330758,3.32316427796704e-05,0.000177922748673621
ENSG00000007306,0.010481092246564,0.00487688941867655,0.0769397043614259,0.00235430468625623,0.00188497527489679,0.0440270803712531
ENSG00000007312,0.0198916366273503,0.00169800730840055,0.00608504277432424,0.0052092652753503,0.000566899014379175,0.00240675450253882
ENSG00000007314,7.91816013864846e-05,1.59042881072339e-08,0.000870953325380218,7.81774018667081e-06,1.39400510315272e-09,0.000265927096562328
ENSG00000007341,0.799333252867655,0.076613465783934,0.00221981507248701,0.695496670534722,0.0444679556648008,0.000764319400921507
ENSG00000007350,0.256534174728385,0.26890986211272,0.158255106910219,0.139319183429316,0.196415435020699,0.102609216227954
ENSG00000007372,0.661806332525025,2.79140819795233e-05,0.000900709793506806,0.526307315794355,5.49050836138663e-06,0.000276020525199934
ENSG00000007376,0.807752630191948,0.648357351376499,0.0585989540230874,0.706891258151268,0.570972516383476,0.0322374120064193
ENSG00000007384,0.0163046454941279,4.70937121718275e-05,0.00580771699075348,0.00404765674854223,9.87142704466953e-06,0.00228192270052718
ENSG00000007392,0.238399952740569,0.000548956155342979,0.0010188214470682,0.126389709924991,0.000157848480841776,0.000316381674922211
ENSG00000007402,0.0204378984381167,5.32435574946376e-05,0.000249057763104899,0.00540076977216798,1.13245897741054e-05,6.47662358957152e-05
ENSG00000007516,0.0765045856763048,0.0035983694010359,0.00182311268759281,0.0284257978405118,0.00133302163837119,0.000610981524732567
ENSG00000007520,0.929893906181796,0.44833768380615,0.989468872535164,0.886799380009332,0.36286285099802,0.985666435000405
ENSG00000007541,0.00841182839131967,3.33415406668145e-05,2.99143448756499e-06,0.00179811929640216,6.70229382137222e-06,4.70857532237324e-07
ENSG00000007545,0.111208816016734,0.000571484709621878,0.00808975319441191,0.046188929580881,0.000165308573406684,0.00332814191511245
ENSG00000007866,0.74907916009239,0.251620506935109,0.354182142506546,0.63010724181293,0.181028384152674,0.269530217608543
ENSG00000007908,0.0545729925913068,0.000330356478401627,0.000269208388804058,0.0184572756144713,8.8198170866382e-05,7.08040079123153e-05
ENSG00000007923,0.183436570224857,0.0174680303534829,0.0812540310648643,0.0889027066077324,0.00811496325358256,0.0469254790048064
ENSG00000007933,0.632266869391705,0.649033290069271,0.811218513115512,0.491867203656804,0.571875486354742,0.753816894965701
ENSG00000007944,0.0363134953025728,0.000180991295025388,0.00468161679328529,0.0109796997175374,4.49743095911728e-05,0.00178702700992951
ENSG00000007952,9.38631438649053e-06,2.29888947124091e-06,1.06356063419964e-05,7.03667636536122e-07,3.35828051831744e-07,1.9269145188667e-06
ENSG00000007968,0.102718880941882,0.0943583617972368,0.0498899739003839,0.0416169671606714,0.0566966593731293,0.0268697453364163
ENSG00000008018,0.701989525422641,0.741270869713745,0.942975097166542,0.57313096543489,0.676342675720802,0.922633569646771
