mechanism_class,confirmed_anchor,novel_nomination,rescued_candidate
ECM_stromal,2,8,5
acinar_stress,0,8,0
cell_surface_adhesion,0,1,0
ductal_epithelial,3,51,1
immune_inflammatory,2,6,2
unclear,0,7,4
