gene_symbol,score_layer,score_direction,score_early,score_serum,score_rescue,positive_score,leakage_mult,het_mult,audit_score_raw,audit_score,is_hk,is_plasma_hi,rescue_eligible
SLC15A2,0.25,0.125,0.490154680028006,0,0,0.173030936005601,1,0.7,0.121121655203921,0.162772949145325,FALSE,FALSE,FALSE
SLC16A1,0,0.375,0,0,0,0.075,1,1,0.075,0.100790987089352,FALSE,FALSE,FALSE
SLC16A10,0.75,0.75,0.986185005261427,0,0,0.497237001052285,1,1,0.497237001052285,0.66822677537879,FALSE,FALSE,FALSE
SLC16A11,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SLC16A12,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
SLC16A13,0.25,0.125,0.581444971449813,0,0,0.191288994289963,1,1,0.191288994289963,0.257069420717531,FALSE,FALSE,FALSE
SLC16A2,0.25,0.5,0.343911349259277,0,0,0.218782269851856,1,1,0.218782269851856,0.294017079146901,FALSE,FALSE,FALSE
SLC16A3,0.75,1,0.991820814510456,0,0,0.548364162902091,1,1,0.548364162902091,0.736935536844376,FALSE,FALSE,FALSE
SLC16A4,0.25,0.25,0.895422932868602,0,0,0.27908458657372,1,1,0.27908458657372,0.375056146162521,FALSE,FALSE,FALSE
SLC16A5,0,0.375,0,0,0,0.075,1,1,0.075,0.100790987089352,FALSE,FALSE,FALSE
SLC16A7,0.75,0.875,0.947748376510948,0,0,0.51454967530219,1,1,0.51454967530219,0.691492929069513,FALSE,FALSE,FALSE
SLC16A9,0,0.125,0,0,0,0.025,1,1,0.025,0.0335969956964508,FALSE,FALSE,FALSE
SLC17A4,0.25,0.125,0.987617663395339,0,0,0.272523532679068,1,1,0.272523532679068,0.366238878184008,FALSE,FALSE,FALSE
SLC17A6,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
SLC17A7,0.25,0.125,0.986760581820913,0,0,0.272352116364183,1,0.7,0.190646481454928,0.256205960679388,FALSE,FALSE,FALSE
SLC17A9,0.25,0.375,0.991861499172348,0,0,0.32337229983447,1,0.7,0.226360609884129,0.304201457444922,FALSE,FALSE,FALSE
SLC18A1,0.25,0,0.753531073005569,0,0,0.200706214601114,1,0.7,0.14049435022078,0.188807523189728,FALSE,FALSE,FALSE
SLC18A2,0,0.125,0,0,0,0.025,1,0.3,0.0075,0.0100790987089352,FALSE,FALSE,FALSE
SLC18B1,0.25,0,0.89178732088499,0,0,0.228357464176998,1,1,0.228357464176998,0.306884989648281,FALSE,FALSE,FALSE
SLC19A1,0.25,0.5,0.985444394917604,0,0,0.347088878983521,1,0.3,0.104126663695056,0.139933722881943,FALSE,FALSE,FALSE
SLC19A2,0.25,0.25,0.522533090853529,0,0,0.204506618170706,1,0.7,0.143154632719494,0.192382623176153,FALSE,FALSE,FALSE
SLC19A3,0,0.375,0,0,0,0.075,1,1,0.075,0.100790987089352,FALSE,FALSE,FALSE
SLC1A1,0.25,0.125,0.718870507900909,0,0,0.218774101580182,1,1,0.218774101580182,0.29400610197137,FALSE,FALSE,FALSE
SLC1A2,0.25,0.5,0.999590067584587,0,0,0.349918013516917,1,1,0.349918013516917,0.47024775976954,FALSE,FALSE,FALSE
SLC1A4,0.25,0.25,0,0,0,0.1,1,0.7,0.07,0.0940715879500622,FALSE,FALSE,FALSE
SLC1A5,0.25,0.25,0.703729441072383,0,0,0.240745888214477,1,1,0.240745888214477,0.3235335428112,FALSE,FALSE,FALSE
SLC1A7,0.25,0.375,0.425742250965862,0,0,0.210148450193172,1,0.7,0.147103915135221,0.197689984149163,FALSE,FALSE,FALSE
SLC20A1,0.25,0.25,0.981130341980559,0,0,0.296226068396112,1,0.3,0.0888678205188336,0.119427671340969,FALSE,FALSE,FALSE
SLC20A2,0.5,0.625,0.957017458310214,0,0,0.416403491662043,1,1,0.416403491662043,0.55959625269427,FALSE,FALSE,FALSE
SLC22A1,0,0.25,0,0,0,0.05,1,0.7,0.035,0.0470357939750311,FALSE,FALSE,FALSE
SLC22A15,0.25,0.375,0.407357666489643,0,0,0.206471533297929,1,0.7,0.14453007330855,0.194231050038203,FALSE,FALSE,FALSE
SLC22A17,0,0.125,0,0,0,0.025,1,0.3,0.0075,0.0100790987089352,FALSE,FALSE,FALSE
SLC22A18,0.5,0.25,0.655145870629726,0,0,0.281029174125945,1,0.7,0.196720421888162,0.264368606703222,FALSE,FALSE,FALSE
SLC22A23,0.25,0.125,0.99523824670687,0,0,0.274047649341374,1,0.3,0.0822142948024122,0.110486132346535,FALSE,FALSE,FALSE
SLC22A3,0.25,0.375,0.997069343741203,0,0,0.324413868748241,1,1,0.324413868748241,0.435973254088144,FALSE,FALSE,FALSE
SLC22A31,0.25,0.25,0.970093795467018,0,0,0.294018759093404,1,0.7,0.205813131365383,0.276588115550233,FALSE,FALSE,FALSE
SLC22A4,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
SLC22A5,0.25,0.25,0.975611658575964,0,0,0.295122331715193,1,0.3,0.0885366995145578,0.118982684502742,FALSE,FALSE,FALSE
